,candles,symbol,empty
0,"{'open': 58.97, 'high': 58.97, 'low': 58.05, 'close': 58.24, 'volume': 5510800, 'datetime': 1066798800000}",WMT,False
1,"{'open': 58.15, 'high': 58.75, 'low': 58.15, 'close': 58.7, 'volume': 6418100, 'datetime': 1066885200000}",WMT,False
2,"{'open': 58.71, 'high': 58.71, 'low': 57.0, 'close': 58.11, 'volume': 8478400, 'datetime': 1066971600000}",WMT,False
3,"{'open': 58.11, 'high': 58.44, 'low': 57.75, 'close': 57.79, 'volume': 7014800, 'datetime': 1067234400000}",WMT,False
4,"{'open': 57.79, 'high': 58.77, 'low': 57.78, 'close': 58.76, 'volume': 8032200, 'datetime': 1067320800000}",WMT,False
5,"{'open': 58.55, 'high': 58.96, 'low': 58.32, 'close': 58.85, 'volume': 5386600, 'datetime': 1067407200000}",WMT,False
6,"{'open': 58.85, 'high': 59.15, 'low': 58.54, 'close': 58.8, 'volume': 6114500, 'datetime': 1067493600000}",WMT,False
7,"{'open': 58.8, 'high': 59.18, 'low': 58.76, 'close': 58.95, 'volume': 5913300, 'datetime': 1067580000000}",WMT,False
8,"{'open': 58.77, 'high': 59.93, 'low': 58.52, 'close': 59.04, 'volume': 5486800, 'datetime': 1067839200000}",WMT,False
9,"{'open': 58.82, 'high': 58.9, 'low': 58.35, 'close': 58.66, 'volume': 7646000, 'datetime': 1067925600000}",WMT,False
10,"{'open': 58.66, 'high': 58.67, 'low': 57.76, 'close': 57.92, 'volume': 7967500, 'datetime': 1068012000000}",WMT,False
11,"{'open': 57.92, 'high': 58.7, 'low': 57.75, 'close': 58.61, 'volume': 7996500, 'datetime': 1068098400000}",WMT,False
12,"{'open': 58.75, 'high': 58.8, 'low': 58.21, 'close': 58.42, 'volume': 6617700, 'datetime': 1068184800000}",WMT,False
13,"{'open': 58.35, 'high': 58.47, 'low': 57.83, 'close': 58.12, 'volume': 5579200, 'datetime': 1068444000000}",WMT,False
14,"{'open': 58.13, 'high': 58.47, 'low': 57.94, 'close': 58.28, 'volume': 4936200, 'datetime': 1068530400000}",WMT,False
15,"{'open': 58.28, 'high': 58.35, 'low': 57.82, 'close': 57.96, 'volume': 8613300, 'datetime': 1068616800000}",WMT,False
16,"{'open': 56.35, 'high': 56.4, 'low': 55.4, 'close': 55.52, 'volume': 27996900, 'datetime': 1068703200000}",WMT,False
17,"{'open': 55.52, 'high': 55.95, 'low': 54.5, 'close': 55.0, 'volume': 16168500, 'datetime': 1068789600000}",WMT,False
18,"{'open': 55.0, 'high': 55.01, 'low': 54.36, 'close': 55.0, 'volume': 10353100, 'datetime': 1069048800000}",WMT,False
19,"{'open': 55.01, 'high': 55.3, 'low': 54.53, 'close': 54.72, 'volume': 10099500, 'datetime': 1069135200000}",WMT,False
20,"{'open': 54.6, 'high': 55.34, 'low': 54.55, 'close': 55.21, 'volume': 7160200, 'datetime': 1069221600000}",WMT,False
21,"{'open': 55.15, 'high': 55.59, 'low': 54.96, 'close': 55.07, 'volume': 8741100, 'datetime': 1069308000000}",WMT,False
22,"{'open': 55.2, 'high': 55.23, 'low': 54.67, 'close': 54.81, 'volume': 8607200, 'datetime': 1069394400000}",WMT,False
23,"{'open': 55.15, 'high': 56.16, 'low': 55.1, 'close': 56.08, 'volume': 10144800, 'datetime': 1069653600000}",WMT,False
24,"{'open': 56.0, 'high': 56.26, 'low': 55.76, 'close': 56.04, 'volume': 8085600, 'datetime': 1069740000000}",WMT,False
25,"{'open': 56.02, 'high': 56.2, 'low': 55.19, 'close': 55.7, 'volume': 7017000, 'datetime': 1069826400000}",WMT,False
26,"{'open': 55.6, 'high': 56.0, 'low': 55.51, 'close': 55.64, 'volume': 3167600, 'datetime': 1069999200000}",WMT,False
27,"{'open': 55.64, 'high': 55.66, 'low': 53.95, 'close': 54.5, 'volume': 19745300, 'datetime': 1070258400000}",WMT,False
28,"{'open': 54.33, 'high': 54.55, 'low': 52.99, 'close': 53.02, 'volume': 21667700, 'datetime': 1070344800000}",WMT,False
29,"{'open': 53.29, 'high': 53.72, 'low': 52.68, 'close': 52.69, 'volume': 17702600, 'datetime': 1070431200000}",WMT,False
30,"{'open': 53.14, 'high': 53.23, 'low': 52.14, 'close': 53.02, 'volume': 17592500, 'datetime': 1070517600000}",WMT,False
31,"{'open': 52.85, 'high': 53.65, 'low': 52.7, 'close': 53.48, 'volume': 13538800, 'datetime': 1070604000000}",WMT,False
32,"{'open': 53.48, 'high': 53.6, 'low': 53.0, 'close': 53.4, 'volume': 10426300, 'datetime': 1070863200000}",WMT,False
33,"{'open': 53.5, 'high': 53.53, 'low': 52.55, 'close': 52.61, 'volume': 9983400, 'datetime': 1070949600000}",WMT,False
34,"{'open': 52.9, 'high': 53.25, 'low': 52.56, 'close': 52.95, 'volume': 9713600, 'datetime': 1071036000000}",WMT,False
35,"{'open': 53.15, 'high': 53.54, 'low': 52.74, 'close': 52.81, 'volume': 11684400, 'datetime': 1071122400000}",WMT,False
36,"{'open': 52.98, 'high': 53.0, 'low': 52.01, 'close': 52.5, 'volume': 11523500, 'datetime': 1071208800000}",WMT,False
37,"{'open': 53.07, 'high': 53.07, 'low': 50.5, 'close': 50.74, 'volume': 24709700, 'datetime': 1071468000000}",WMT,False
38,"{'open': 51.0, 'high': 51.49, 'low': 50.6, 'close': 51.39, 'volume': 16733300, 'datetime': 1071554400000}",WMT,False
39,"{'open': 51.31, 'high': 52.4, 'low': 51.25, 'close': 51.9, 'volume': 16365300, 'datetime': 1071640800000}",WMT,False
40,"{'open': 52.89, 'high': 53.21, 'low': 52.53, 'close': 52.6, 'volume': 15363100, 'datetime': 1071727200000}",WMT,False
41,"{'open': 52.69, 'high': 53.01, 'low': 52.34, 'close': 52.35, 'volume': 14488100, 'datetime': 1071813600000}",WMT,False
